"state_county_fips","Unemployed_2014"
29155,"644"
29157,"557"
29159,"1,264"
29161,"1,255"
29163,"465"
29165,"2,746"
29167,"888"
29169,"1,114"
29171,"125"
29173,"297"
29175,"719"
29177,"763"
29179,"222"
29181,"446"
29183,"10,149"
29185,"308"
29186,"596"
29187,"1,997"
29189,"31,029"
29195,"629"
29197,"137"
29199,"116"
29201,"1,311"
29203,"322"
29205,"186"
29207,"999"
29209,"1,280"
29211,"181"
29213,"2,463"
29215,"738"
29217,"556"
29219,"1,058"
29221,"896"
29223,"415"
29225,"973"
29227,"52"
29229,"547"
29510,"12,395"
30000,"24,346"
30001,"183"
30003,"565"
30005,"143"
30007,"140"
30009,"213"
30011,"23"
30013,"1,679"
30015,"85"
30017,"215"
30019,"30"
30021,"130"
30023,"238"
30025,"40"
30027,"253"
30029,"2,860"
30031,"1,993"
30033,"20"
30035,"640"
30037,"19"
30039,"108"
30041,"461"
30043,"262"
30045,"42"
30047,"736"
30049,"1,329"
30051,"31"
30053,"907"
30055,"27"
30057,"197"
30059,"40"
30061,"160"
30063,"2,702"
30065,"98"
30067,"456"
30069,"12"
30071,"108"
30073,"142"
30075,"34"
30077,"155"
30079,"23"
30081,"1,179"
30083,"176"
30085,"257"
30087,"241"
30089,"442"
30091,"57"
30093,"854"
30095,"192"
30097,"64"
30099,"110"
30101,"72"
30103,"15"
30105,"135"
30107,"40"
30109,"17"
30111,"2,998"
31000,"33,903"
31001,"569"
31003,"99"
31005,"12"
31007,"16"
31009,"12"
31011,"80"
31013,"180"
31015,"37"
31017,"49"
31019,"757"
31021,"158"
31023,"144"
31025,"507"
31027,"114"
31029,"48"
31031,"86"
31033,"125"
31035,"116"
31037,"167"
31039,"134"
31041,"151"
31043,"608"
31045,"166"
31047,"467"
31049,"30"
31051,"106"
31053,"705"
31055,"10,587"
31057,"30"
31059,"79"
31061,"51"
31063,"43"
31065,"78"
31067,"469"
31069,"35"
31071,"32"
31073,"34"
31075,"11"
31077,"41"
31079,"1,256"
31081,"143"
31083,"49"
31085,"18"
31087,"48"
31089,"161"
31091,"18"
31093,"125"
31095,"134"
31097,"85"
31099,"95"
31101,"136"
31103,"17"
31105,"59"
31107,"151"
31109,"4,986"
31111,"615"
31113,"16"
31115,"14"
31117,"11"
31119,"576"
31121,"157"
31123,"81"
31125,"57"
31127,"151"
31129,"70"
31131,"318"
31133,"47"
31135,"40"
31137,"135"
31139,"121"
31141,"519"
31143,"95"
31145,"165"
31147,"179"
31149,"23"
31151,"257"
31153,"2,830"
31155,"389"
31157,"700"
31159,"271"
31161,"85"
31163,"58"
31165,"22"
31167,"101"
31169,"80"
31171,"15"
31173,"204"
31175,"63"
31177,"362"
31179,"159"
31181,"60"
31183,"15"
31185,"236"
32000,"108,125"
32001,"800"
32003,"79,647"
32005,"1,758"
32007,"1,544"
32009,"24"
32011,"63"
32013,"550"
32015,"217"
32017,"151"
32019,"2,302"
32021,"186"
