"state_fips","county_fips","n_storms","total_intensity"
"20","057",360,19651
"20","059",167,7387
"20","061",125,6385
"20","063",113,5964
"20","065",167,8827
"20","067",114,5787
"20","069",192,9957
"20","071",79,4517
"20","073",137,7401
"20","075",117,6168
"20","077",189,9518
"20","079",133,6801
"20","081",107,4944
"20","083",143,7762
"20","085",97,4552
"20","087",212,10545
"20","089",113,5727
"20","091",329,14107
"20","093",129,7081
"20","095",192,9867
"20","097",105,4867
"20","099",177,8073
"20","101",89,4855
"20","103",200,8840
"20","105",167,9011
"20","107",60,2598
"20","109",120,6594
"20","111",250,11810
"20","113",275,14021
"20","115",149,7538
"20","117",135,5970
"20","119",125,6575
"20","121",108,4972
"20","123",138,6797
"20","125",204,10086
"20","127",107,5236
"20","129",95,5294
"20","131",133,6505
"20","133",186,9361
"20","135",142,7730
"20","137",142,7290
"20","139",199,9654
"20","141",114,6244
"20","143",158,7908
"20","145",157,8021
"20","147",111,5813
"20","149",195,9468
"20","151",206,10715
"20","153",158,8695
"20","155",394,20315
"20","157",136,6438
"20","159",165,8444
"20","161",177,9284
"20","163",90,4667
"20","165",108,5468
"20","167",342,19305
"20","169",189,9712
"20","171",116,6366
"20","173",704,36573
"20","175",143,6945
"20","177",386,19061
"20","179",96,4842
"20","181",388,21686
"20","183",118,5569
"20","185",129,6894
"20","187",94,4825
"20","189",76,4208
"20","191",360,17947
"20","193",190,9814
"20","195",89,4360
"20","197",145,7631
"20","199",102,5620
"20","201",105,5192
"20","203",56,3018
"20","205",96,4530
"20","207",67,3229
"20","209",108,4656
"21","000",20,251
"21","001",100,3852
"21","003",96,4159
"21","005",71,2585
"21","007",97,4178
"21","009",153,6785
"21","011",100,4004
"21","013",115,4118
"21","015",125,5024
"21","017",93,3518
"21","019",83,2608
"21","021",75,2239
"21","023",70,2676
"21","025",205,7711
"21","027",129,5154
"21","029",116,4746
"21","031",75,3126
"21","033",55,1969
"21","035",117,5403
"21","037",84,3160
"21","039",69,2960
"21","041",54,2210
"21","043",61,1456
"21","045",94,4476
"21","047",198,8212
"21","049",88,3295
"21","051",147,5369
"21","053",68,2999
"21","055",55,1685
"21","057",56,2505
"21","059",155,5883
"21","061",84,3516
"21","063",57,2054
"21","065",175,7608
"21","067",211,8427
"21","069",95,3283
"21","071",145,5265
"21","073",96,3796
"21","075",70,2416
"21","077",64,2145
"21","079",72,2812
"21","081",80,3003
"21","083",136,4751
"21","085",106,4137
"21","087",81,3180
"21","089",83,2886
"21","091",77,3074
"21","093",194,7593
"21","095",116,4212
"21","097",64,2635
"21","099",104,4390
"21","101",108,3524
"21","103",81,3103
"21","105",62,2599
"21","107",110,3942
"21","109",129,4659
"21","111",368,15845
"21","113",89,3514
"21","115",138,5452
"21","117",77,2746
"21","119",66,2610
"21","121",101,4117
"21","123",86,3571
"21","125",216,8203
"21","127",55,1607
"21","129",148,5854
"21","131",128,5031
"21","133",105,3572
"21","135",67,2325
"21","137",67,2691
"21","139",69,2989
"21","141",135,5651
"21","143",39,1550
"21","145",159,7434
"21","147",117,5357
"21","149",43,1545
"21","151",122,5224
"21","153",104,3669
"21","155",74,2927
"21","157",112,4931
"21","159",82,3276
"21","161",91,3202
"21","163",114,4604
"21","165",81,3298
"21","167",92,3394
"21","169",74,3302
"21","171",85,3916
"21","173",109,4077
"21","175",167,6247
"21","177",88,3379
"21","179",127,5035
"21","181",47,1994
"21","183",114,4753
"21","185",114,4763
"21","187",90,3353
"21","189",93,3484
"21","191",79,3144
"21","193",165,6112
"21","195",273,11379
"21","197",108,4467
"21","199",282,9968
"21","201",28,1048
"21","203",108,3882
"21","205",83,3192
"21","207",97,4331
"21","209",101,4266
"21","211",151,5647
"21","213",91,3429
"21","215",60,2563
"21","217",142,6210
"21","219",89,3463
"21","221",107,4844
"21","223",55,2662
"21","225",70,2225
"21","227",205,9221
