"","state_fips","county_fips","county.name","Dollars","Rank.in.State","Percent.Change","Rank.in.State.1"
"328",12,43,"Glades","21,210","66",-0.4,"66"
"329",12,45,"Gulf","27,599","53",3.4,"34"
"330",12,47,"Hamilton","24,160","62",5.5,"6"
"331",12,49,"Hardee","24,176","61",2.5,"58"
"332",12,51,"Hendry","27,941","52",-3.7,"67"
"333",12,53,"Hernando","32,324","39",3.6,"27"
"334",12,55,"Highlands","30,650","41",2.8,"50"
"335",12,57,"Hillsborough","41,902","14",3.3,"40"
"336",12,59,"Holmes","26,427","57",2.7,"53"
"337",12,61,"Indian River","63,140","5",3.1,"45"
"338",12,63,"Jackson","28,459","48",2.8,"51"
"339",12,65,"Jefferson","35,446","32",6.1,"5"
"340",12,67,"Lafayette","22,286","64",7.7,"2"
"341",12,69,"Lake","35,786","31",3.3,"38"
"342",12,71,"Lee","42,243","13",3,"46"
"343",12,73,"Leon","38,305","22",4.2,"14"
"344",12,75,"Levy","30,514","42",4.2,"11"
"345",12,77,"Liberty","24,822","60",1.7,"64"
"346",12,79,"Madison","28,176","49",6.5,"4"
"347",12,81,"Manatee","40,895","18",2.7,"54"
"348",12,83,"Marion","32,571","37",3.2,"44"
"349",12,85,"Martin","65,551","4",3.3,"39"
"350",12,86,"Miami-Dade","41,883","15",4.2,"13"
"351",12,87,"Monroe","69,593","2",4,"15"
"352",12,89,"Nassau","47,127","8",3.5,"31"
"353",12,91,"Okaloosa","44,695","11",2.5,"56"
"354",12,93,"Okeechobee","28,554","46",7.7,"1"
"355",12,95,"Orange","38,007","23",3.6,"24"
"356",12,97,"Osceola","28,088","50",3.9,"19"
"357",12,99,"Palm Beach","66,914","3",3.3,"42"
"358",12,101,"Pasco","33,953","35",3.4,"33"
"359",12,103,"Pinellas","45,925","9",3.5,"28"
"360",12,105,"Polk","32,652","36",2.9,"49"
"361",12,107,"Putnam","27,031","56",3.7,"21"
"362",12,109,"St. Johns","58,379","6",2.1,"61"
"363",12,111,"St. Lucie","34,129","34",4,"16"
"364",12,113,"Santa Rosa","37,610","24",2.3,"59"
"365",12,115,"Sarasota","54,147","7",3.2,"43"
"366",12,117,"Seminole","41,806","16",3.9,"18"
"367",12,119,"Sumter","37,558","25",3,"48"
"368",12,121,"Suwannee","28,536","47",4.7,"8"
"369",12,123,"Taylor","27,944","51",3.4,"36"
