"state_county_fips","POP_ESTIMATE_2014"
28039,"23,303"
28041,"14,326"
28043,"21,666"
28045,"45,949"
28047,"199,058"
28049,"243,729"
28051,"18,459"
28053,"8,741"
28055,"1,397"
28057,"23,527"
28059,"141,137"
28061,"16,601"
28063,"7,599"
28065,"11,822"
28067,"68,290"
28069,"10,163"
28071,"52,930"
28073,"60,099"
28075,"79,739"
28077,"12,502"
28079,"23,193"
28081,"85,246"
28083,"31,422"
28085,"34,775"
28087,"59,730"
28089,"101,688"
28091,"25,868"
28093,"36,234"
28095,"36,003"
28097,"10,400"
28099,"29,465"
28101,"21,832"
28103,"11,115"
28105,"49,414"
28107,"34,444"
28109,"55,224"
28111,"12,227"
28113,"40,058"
28115,"30,950"
28117,"25,428"
28119,"7,678"
28121,"148,070"
28123,"28,461"
28125,"4,647"
28127,"27,463"
28129,"16,188"
28131,"17,875"
28133,"27,496"
28135,"14,761"
28137,"28,204"
28139,"22,039"
28141,"19,420"
28143,"10,598"
28145,"28,097"
28147,"14,859"
28149,"47,983"
28151,"48,958"
28153,"20,490"
28155,"9,972"
28157,"9,191"
28159,"18,478"
28161,"12,276"
28163,"27,817"
29000,"6,063,589"
29001,"25,602"
29003,"17,379"
29005,"5,382"
29007,"25,887"
29009,"35,662"
29011,"12,057"
29013,"16,584"
29015,"18,806"
29017,"12,394"
29019,"172,717"
29021,"89,486"
29023,"42,972"
29025,"9,034"
29027,"44,750"
29029,"44,021"
29031,"78,043"
29033,"9,043"
29035,"6,258"
29037,"100,889"
29039,"13,952"
29041,"7,694"
29043,"82,101"
29045,"6,917"
29047,"233,682"
