"state_fips","county_fips","n_storms","total_intensity"
"20","043",16,11
"20","045",35,41
"20","047",33,35
"20","049",22,20
"20","051",50,42
"20","053",42,22
"20","055",83,46
"20","057",78,32
"20","059",25,11
"20","061",12,8
"20","063",48,10
"20","065",37,26
"20","067",21,16
"20","069",30,11
"20","071",31,6
"20","073",35,12
"20","075",24,3
"20","077",60,35
"20","079",41,25
"20","081",27,21
"20","083",42,38
"20","085",23,12
"20","087",35,33
"20","089",34,29
"20","091",32,18
"20","093",38,17
"20","095",60,19
"20","097",50,30
"20","099",34,25
"20","101",24,15
"20","103",26,33
"20","105",28,9
"20","107",13,15
"20","109",27,7
"20","111",42,36
"20","113",44,6
"20","115",41,22
"20","117",28,20
"20","119",43,21
"20","121",15,16
"20","123",38,44
"20","125",32,19
"20","127",27,15
"20","129",17,4
"20","131",35,22
"20","133",27,25
"20","135",37,32
"20","137",26,21
"20","139",38,21
"20","141",39,1
"20","143",24,21
"20","145",37,31
"20","147",36,17
"20","149",30,9
"20","151",59,3
"20","153",44,32
"20","155",75,44
"20","157",54,29
"20","159",37,27
"20","161",24,0
"20","163",46,35
"20","165",46,9
"20","167",73,30
"20","169",37,9
"20","171",41,13
"20","173",83,64
"20","175",30,28
"20","177",42,47
"20","179",32,19
"20","181",103,37
"20","183",38,31
"20","185",60,37
"20","187",22,11
"20","189",23,20
"20","191",79,62
"20","193",49,18
"20","195",55,36
"20","197",28,23
"20","199",34,10
"20","201",31,20
"20","203",27,14
"20","205",13,9
"20","207",9,9
"20","209",7,8
"21","001",9,17
"21","003",3,5
"21","005",8,11
"21","007",14,14
"21","009",12,15
"21","011",7,5
"21","013",7,5
"21","015",14,22
"21","017",3,2
"21","019",2,4
"21","021",4,5
"21","023",3,3
"21","025",4,1
"21","027",13,15
"21","029",7,6
"21","031",5,6
"21","033",9,8
"21","035",31,26
"21","037",3,6
"21","039",3,3
"21","041",8,11
"21","043",3,2
"21","045",5,7
"21","047",30,44
"21","049",4,4
"21","051",6,2
"21","053",12,10
"21","055",12,22
"21","057",5,10
"21","059",19,22
"21","061",4,5
"21","063",1,1
"21","065",6,7
"21","067",6,8
"21","069",6,5
"21","071",2,2
"21","073",7,4
"21","075",9,11
"21","077",2,1
"21","079",6,10
"21","081",4,6
"21","083",18,14
"21","085",11,22
"21","087",7,14
"21","089",5,5
"21","091",6,3
"21","093",20,31
"21","095",2,0
"21","097",6,7
"21","099",13,13
"21","101",14,18
"21","103",11,14
"21","105",5,6
"21","107",13,19
"21","109",2,1
"21","111",22,25
"21","113",4,2
"21","115",2,1
"21","117",5,4
"21","121",2,2
"21","123",9,16
"21","125",17,23
"21","127",1,3
"21","129",1,1
"21","131",3,2
"21","133",2,2
"21","135",5,5
"21","137",10,7
"21","139",6,9
"21","141",15,16
"21","143",4,4
"21","145",18,17
"21","147",7,13
"21","149",5,8
"21","151",9,14
"21","153",1,0
