"state_fips","county_fips","STNAME","CTYNAME","YEAR","TOT_POP","WA","BA","IA","AA","Na","NH","H"
8,51,"Colorado","Gunnison County",3,15369,14591,62,361,110,3,14114,1255
8,53,"Colorado","Hinsdale County",3,847,814,3,11,4,0,824,23
8,55,"Colorado","Huerfano County",3,6673,6100,41,330,35,15,4308,2365
8,57,"Colorado","Jackson County",3,1383,1342,0,22,1,0,1227,156
8,59,"Colorado","Jefferson County",3,535600,496441,6285,6231,14569,600,458673,76927
8,61,"Colorado","Kiowa County",3,1395,1364,4,7,0,0,1315,80
8,63,"Colorado","Kit Carson County",3,8238,7797,226,71,36,13,6665,1573
8,65,"Colorado","Lake County",3,7263,6893,35,160,34,4,4429,2834
8,67,"Colorado","La Plata County",3,51338,46228,240,3278,323,35,45232,6106
8,69,"Colorado","Larimer County",3,300484,281795,2739,3029,6194,289,268650,31834
8,71,"Colorado","Las Animas County",3,15416,14218,235,513,126,14,9017,6399
8,73,"Colorado","Lincoln County",3,5472,5004,294,56,46,2,4782,690
8,75,"Colorado","Logan County",3,22789,21108,944,301,155,23,19224,3565
8,77,"Colorado","Mesa County",3,146485,138847,1115,2174,1218,185,126975,19510
8,79,"Colorado","Mineral County",3,703,689,2,4,1,0,682,21
8,81,"Colorado","Moffat County",3,13802,13280,45,167,79,11,11811,1991
8,83,"Colorado","Montezuma County",3,25537,21605,68,3192,137,19,22697,2840
8,85,"Colorado","Montrose County",3,41177,39157,222,720,301,39,33052,8125
8,87,"Colorado","Morgan County",3,28141,26262,889,376,171,77,18602,9539
8,89,"Colorado","Otero County",3,18901,17468,175,603,170,24,11258,7643
8,91,"Colorado","Ouray County",3,4460,4346,8,17,26,5,4263,197
8,93,"Colorado","Park County",3,16264,15566,75,173,109,3,15469,795
8,95,"Colorado","Phillips County",3,4460,4341,20,32,27,7,3617,843
8,97,"Colorado","Pitkin County",3,17149,16529,115,59,219,12,15568,1581
8,99,"Colorado","Prowers County",3,12571,12115,75,192,39,2,8138,4433
8,101,"Colorado","Pueblo County",3,159536,145629,3772,4654,1502,233,93426,66110
8,103,"Colorado","Rio Blanco County",3,6660,6352,59,75,23,11,5992,668
8,105,"Colorado","Rio Grande County",3,12020,11371,50,333,50,4,6886,5134
8,107,"Colorado","Routt County",3,23426,22703,110,130,162,17,21849,1577
8,109,"Colorado","Saguache County",3,6131,5740,31,186,48,1,3686,2445
8,111,"Colorado","San Juan County",3,708,683,0,2,8,0,619,89
8,113,"Colorado","San Miguel County",3,7356,7048,38,94,58,5,6722,634
8,115,"Colorado","Sedgwick County",3,2370,2300,8,15,23,0,2078,292
8,117,"Colorado","Summit County",3,28063,26960,264,148,296,22,24041,4022
8,119,"Colorado","Teller County",3,23456,22398,113,242,174,21,22132,1324
8,121,"Colorado","Washington County",3,4805,4689,30,8,18,4,4398,407
8,123,"Colorado","Weld County",3,254173,238445,2969,4242,3274,324,181985,72188
8,125,"Colorado","Yuma County",3,10016,9800,21,69,41,18,7933,2083
9,1,"Connecticut","Fairfield County",3,919506,746793,107313,4191,44390,1001,763297,156209
9,3,"Connecticut","Hartford County",3,895197,701132,130756,4039,39950,972,757527,137670
9,5,"Connecticut","Litchfield County",3,189742,180533,2922,501,3009,96,181143,8599
9,7,"Connecticut","Middlesex County",3,165625,149871,8139,305,4351,84,157700,7925
9,9,"Connecticut","New Haven County",3,863367,691469,118136,3859,31596,787,732763,130604
9,11,"Connecticut","New London County",3,274102,232584,17511,2903,11905,349,250669,23433
9,13,"Connecticut","Tolland County",3,153199,139438,5339,326,5373,121,146429,6770
9,15,"Connecticut","Windham County",3,118607,110679,3313,724,1446,89,107173,11434
10,1,"Delaware","Kent County",3,162954,113085,40063,1136,3422,140,153536,9418
10,3,"Delaware","New Castle County",3,538873,370046,131139,2177,24069,279,491704,47169
10,5,"Delaware","Sussex County",3,197904,163321,25818,2606,2091,274,180790,17114
11,1,"District of Columbia","District of Columbia",3,605210,253618,311016,3286,21977,794,549315,55895
