"state_county_fips","Scale"
34031,1.3
34033,-0.2
34035,-1.44
34037,1.3
34039,0.14
34041,0.95
35001,3.77
35003,6.24
35005,3.87
35006,3.04
35007,3.7
35009,0.94
35011,3.43
35013,4.77
35015,4.97
35017,6.45
35019,2.66
35021,1.28
35023,3.37
35025,1.79
35027,4.26
35028,3.04
35029,2.87
35031,3.39
35033,5.22
35035,4
35037,1.66
35039,5.23
35041,1.44
35043,3.66
35045,2.83
35047,3.73
35049,3.02
35051,6.72
35053,3.13
35055,4.16
35057,4.02
35059,0.99
35061,3.04
36001,0.3
36003,-0.9
36005,1.04
36007,-0.84
36009,-0.32
36011,-1.44
36013,-0.26
36015,-1.13
36017,-1.41
36019,-0.34
36021,-0.33
36023,-1.55
36025,0.35
36027,-0.07
36029,-0.7
36031,-0.26
36033,-0.63
36035,-0.24
36037,-2.94
36039,0.31
36041,0.24
36043,-1.59
36045,-1.27
36047,-0.17
36049,-2.79
36051,-0.91
36053,-0.94
36055,-0.75
36057,-2.63
36059,0.76
36061,-0.31
36063,-0.52
36065,-1.65
36067,-2.26
36069,-0.67
36071,0.09
36073,-0.58
36075,-0.23
36077,-0.77
36079,0.37
36081,0.01
36083,-0.49
36085,0.23
36087,0.77
36089,-2.11
36091,0.11
