"state_county_fips","POVALL_2014","PCTPOVALL_2014"
20045,"20,961",19.4
20047,"314",10.5
20049,"461",17.4
20051,"3,646",13
20053,"670",12.4
20055,"6,871",18.8
20057,"5,106",15
20059,"3,328",13.3
20061,"4,966",13.9
20063,"277",10.4
20065,"304",12
20067,"844",10.9
20069,"497",8.3
20071,"138",10.8
20073,"1,048",16.9
20075,"333",12.8
20077,"733",12.9
20079,"4,265",12.8
20081,"436",10.7
20083,"166",8.8
20085,"1,377",10.3
20087,"1,745",9.4
20089,"407",13.5
20091,"37,315",6.6
20093,"465",12.2
20095,"836",11.2
20097,"302",12.8
20099,"3,754",18.3
20101,"183",10.9
20103,"7,856",10.9
20105,"395",12.7
20107,"1,388",14.8
20109,"266",9.7
20111,"5,721",18
20113,"2,478",8.8
20115,"1,360",11.9
20117,"1,094",11.1
20119,"494",11.7
20121,"3,061",9.5
20123,"674",11.2
20125,"5,888",18
20127,"703",12.5
20129,"335",11.1
20131,"974",9.9
20133,"2,804",17.7
20135,"301",10
20137,"639",13.5
20139,"2,021",12.9
20141,"470",12.9
20143,"620",10.4
20145,"817",13.9
20147,"621",11.4
20149,"2,262",10
20151,"974",10.3
20153,"299",11.8
20155,"9,577",15.8
20157,"594",12.7
20159,"1,369",14.7
20161,"13,379",20.2
20163,"608",12
20165,"379",12.1
20167,"913",13.3
20169,"7,044",13
20171,"411",8.3
20173,"73,532",14.7
20175,"3,617",15.7
20177,"26,058",15
20179,"273",10.9
20181,"968",16.2
20183,"500",13.5
20185,"594",14.1
20187,"236",11.5
20189,"554",9.7
20191,"3,064",13.3
20193,"851",11.3
20195,"279",9.9
20197,"666",9.6
20199,"178",12
20201,"590",10.8
20203,"246",11.5
20205,"1,478",16.7
20207,"569",18.4
20209,"39,074",24.4
21000,"812,803",19
21001,"4,644",26.3
21003,"3,816",19
21005,"2,450",11.3
21007,"1,359",16.8
21009,"8,247",19.5
21011,"2,733",22.7
21013,"8,955",33.5
21015,"10,009",8
21017,"3,774",19.2
21019,"10,705",23.1
21021,"4,627",17.5
21023,"1,540",18.6
21025,"4,340",33
21027,"3,740",19.2
21029,"9,474",12.3
21031,"2,596",20.6
21033,"2,282",18.2
21035,"7,052",20.2
21037,"11,724",13.2
21039,"833",17
21041,"2,139",20.4
21043,"6,322",23.9
21045,"4,699",30.6
21047,"14,868",21.6
21049,"5,615",16
21051,"7,267",38.2
21053,"2,565",25.7
21055,"1,823",20.3
21057,"1,841",27.8
21059,"14,370",15
21061,"2,366",19.9
21063,"2,133",32.4
21065,"4,254",29.8
21067,"59,007",19.8
21069,"2,795",19.3
21071,"11,702",31.1
21073,"6,184",12.9
21075,"1,812",31.2
21077,"1,419",16.7
21079,"3,004",18
