"state_county_fips","POVALL_2014"
24045,"16,317"
24047,"6,067"
24510,"139,782"
25000,"760,211"
25001,"18,801"
25003,"16,037"
25005,"66,553"
25007,"1,544"
25009,"80,526"
25011,"8,397"
25013,"80,178"
25015,"20,809"
25017,"134,684"
25019,"765"
25021,"43,999"
25023,"42,124"
25025,"155,184"
25027,"90,611"
26000,"1,567,465"
26001,"1,803"
26003,"1,310"
26005,"12,851"
26007,"4,793"
26009,"2,996"
26011,"3,010"
26013,"1,208"
26015,"5,971"
26017,"17,614"
26019,"2,043"
26021,"26,842"
26023,"6,310"
26025,"20,194"
26027,"7,555"
26029,"3,241"
26031,"4,054"
26033,"6,623"
26035,"7,376"
26037,"7,616"
26039,"2,230"
26041,"5,335"
26043,"3,674"
26045,"10,493"
26047,"3,793"
26049,"87,632"
26051,"4,646"
26053,"2,961"
26055,"8,546"
26057,"6,709"
26059,"7,351"
26061,"6,280"
26063,"4,469"
26065,"53,518"
26067,"8,889"
26069,"4,748"
26071,"1,916"
26073,"18,099"
26075,"23,035"
26077,"47,221"
26079,"2,998"
26081,"94,696"
26083,"281"
26085,"3,194"
26087,"9,590"
26089,"1,922"
26091,"13,651"
26093,"11,312"
26095,"1,081"
26097,"1,682"
26099,"104,347"
26101,"3,822"
26103,"9,701"
26105,"4,637"
26107,"9,146"
26109,"3,383"
26111,"9,740"
26113,"2,389"
26115,"15,436"
26117,"12,197"
26119,"1,433"
26121,"33,197"
26123,"9,922"
26125,"122,452"
26127,"5,206"
26129,"4,438"
26131,"1,084"
26133,"4,643"
26135,"1,703"
26137,"3,142"
26139,"24,462"
26141,"2,071"
26143,"4,882"
26145,"32,739"
26147,"21,850"
26149,"11,088"
26151,"6,028"
26153,"1,410"
26155,"10,349"
26157,"8,304"
26159,"12,261"
26161,"48,651"
26163,"419,820"
26165,"6,171"
27000,"607,870"
27001,"2,306"
27003,"25,800"
27005,"4,793"
27007,"8,056"
27009,"5,272"
27011,"640"
27013,"11,095"
27015,"2,153"
27017,"4,086"
27019,"4,613"
27021,"4,434"
27023,"1,371"
27025,"3,251"
27027,"7,704"
27029,"1,540"
27031,"537"
27033,"1,473"
27035,"6,815"
27037,"29,892"
27039,"1,531"
27041,"3,474"
27043,"1,866"
27045,"2,360"
27047,"3,774"
27049,"4,377"
27051,"615"
27053,"154,785"
27055,"1,560"
27057,"2,491"
27059,"2,971"
27061,"6,545"
27063,"992"
27065,"2,166"
27067,"4,783"
27069,"427"
27071,"1,933"
27073,"700"
27075,"1,098"
27077,"412"
27079,"2,434"
27081,"577"
27083,"2,839"
27085,"2,797"
27087,"1,063"
27089,"891"
27091,"2,434"
27093,"2,268"
27095,"3,035"
27097,"3,839"
27099,"4,700"
27101,"796"
27103,"3,134"
27105,"2,769"
27107,"868"
27109,"14,462"
27111,"6,363"
27113,"1,274"
27115,"4,762"
27117,"1,110"
27119,"3,875"
27121,"1,129"
27123,"85,264"
27125,"368"
27127,"1,886"
27129,"1,661"
27131,"7,510"
27133,"890"
27135,"1,418"
27137,"32,867"
27139,"7,590"
27141,"6,395"
27143,"1,353"
27145,"19,537"
27147,"3,931"
27149,"1,258"
27151,"1,005"
27153,"4,250"
27155,"400"
27157,"1,549"
27159,"2,107"
27161,"1,793"
27163,"14,735"
27165,"1,135"
27167,"653"
27169,"7,400"
27171,"7,700"
27173,"1,105"
28000,"634,960"
28001,"9,586"
28003,"7,966"
28005,"2,891"
28007,"4,449"
28009,"2,102"
28011,"10,882"
28013,"3,633"
28015,"1,763"
28017,"4,151"
28019,"1,979"
28021,"3,430"
28023,"3,634"
28025,"5,649"
28027,"8,498"
28029,"7,317"
28031,"5,064"
28033,"17,112"
28035,"19,236"
28037,"1,590"
28039,"3,867"
28041,"2,636"
28043,"5,287"
28045,"8,993"
28047,"36,288"
28049,"55,541"
28051,"7,717"
28053,"3,480"
28055,"431"
28057,"3,880"
28059,"21,723"
28061,"3,751"
28063,"2,764"
28065,"3,488"
28067,"16,272"
28069,"2,615"
28071,"12,011"
28073,"8,479"
28075,"16,466"
28077,"2,778"
28079,"5,751"
28081,"16,289"
28083,"11,794"
28085,"7,392"
28087,"13,781"
28089,"13,115"
28091,"7,611"
28093,"7,377"
28095,"7,122"
28097,"2,536"
28099,"6,010"
28101,"4,736"
28103,"3,420"
28105,"13,295"
28107,"8,863"
28109,"10,425"
28111,"2,738"
28113,"11,942"
28115,"5,429"
28117,"5,463"
28119,"2,712"
28121,"15,792"
28123,"7,580"
28125,"1,710"
28127,"6,967"
28129,"3,345"
28131,"3,210"
28133,"8,102"
28135,"4,596"
28137,"5,000"
28139,"4,143"
28141,"3,385"
28143,"2,924"
28145,"4,412"
28147,"3,885"
28149,"10,290"
28151,"16,872"
28153,"5,032"
28155,"2,191"
28157,"2,641"
28159,"4,740"
28161,"2,832"
28163,"8,112"
29000,"908,394"
29001,"6,109"
29003,"1,834"
29005,"645"
29007,"4,084"
29009,"7,101"
29011,"2,280"
29013,"2,976"
29015,"3,614"
29017,"2,466"
29019,"31,804"
29021,"15,129"
29023,"8,960"
29025,"1,423"
29027,"5,779"
29029,"7,600"
29031,"12,603"
29033,"1,472"
29035,"1,492"
29037,"10,455"
29039,"2,946"
29041,"894"
29043,"9,217"
29045,"1,067"
29047,"21,041"
29049,"2,453"
29051,"9,521"
29053,"2,230"
29055,"5,018"
29057,"1,387"
29059,"3,502"
29061,"1,363"
29063,"1,697"
29065,"3,322"
29067,"3,078"
29069,"9,098"
29071,"11,919"
29073,"1,961"
29075,"1,030"
29077,"56,481"
29079,"1,890"
29081,"1,609"
29083,"3,980"
29085,"2,014"
29087,"636"
29089,"1,479"
29091,"8,706"
29093,"2,201"
29095,"111,130"
29097,"22,445"
29099,"23,387"
29101,"7,338"
29103,"757"
29105,"6,412"
29107,"4,278"
29109,"6,938"
29111,"1,341"
29113,"8,376"
29115,"2,419"
29117,"2,232"
29119,"4,992"
29121,"2,569"
29123,"2,473"
29125,"1,428"
29127,"4,965"
29129,"549"
29131,"4,303"
29133,"3,951"
29135,"2,008"
29137,"1,353"
29139,"1,830"
29141,"4,112"
